manual_species,count,contributing_species_split,species_split_english,not_a_species_but_a,resolved_order,resolved_family,resolved_genus,resolved_species,resolved_scientific_name,common_name_text,common_name_language,manually_resolved,needs_manual_review,review_reason,match_level,sead_common_name,sead_species_name,kingdom,gbif_usage_key,gbif_canonical_name,gbif_rank,gbif_match_type,gbif_confidence,gbif_url,latin_text,ambiguous_genus_candidates,gbif_source,gbif_genus,gbif_family,gbif_order,gbif_kingdom,gbif_candidate,taxonomy_changes_needed
knylhavre,11,knylhavre,False Oat-grass,,Poales,Poaceae,Arrhenatherum,elatius ssp elatius,Arrhenatherum elatius ssp elatius,knylhavre,2.0,,False,,species (common name),knylhavre,Arrhenatherum elatius ssp elatius,Plantae,9781113.0,Arrhenatherum elatius elatius,SUBSPECIES,EXACT,100.0,https://www.gbif.org/species/9781113,knylhavre,,carried-over (species_split_taxa_gbif_matches.csv),Arrhenatherum,Poaceae,Poales,Plantae,Arrhenatherum elatius ssp elatius,
triticum,9,triticum,Wheat,,Poales,Poaceae,Triticum,spp.,Triticum spp.,Wheat,1.0,,False,,genus (latin),,,Plantae,2706388.0,Triticum,GENUS,EXACT,96.0,https://www.gbif.org/species/2706388,triticum,,carried-over (species_split_taxa_gbif_matches.csv),Triticum,Poaceae,Poales,Plantae,Triticum,new English common name 'Wheat'
ljung,9,ljung,Common Heather,,Ericales,Ericaceae,Calluna,vulgaris,Calluna vulgaris,ljung,2.0,,False,,species (common name),ljung,Calluna vulgaris,Plantae,2882482.0,Calluna vulgaris,SPECIES,EXACT,99.0,https://www.gbif.org/species/2882482,ljung,,carried-over (species_split_taxa_gbif_matches.csv),Calluna,Ericaceae,Ericales,Plantae,Calluna vulgaris,"new taxon 'Calluna vulgaris' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'ljung'"
vildsvin,9,vildsvin,Boar,,Artiodactyla,Suidae,Sus,scrofa,Sus scrofa,vildsvin,2.0,,False,,animal (common name),vildsvin,Sus scrofa,Animalia,7705930.0,Sus scrofa,SPECIES,EXACT,100.0,https://www.gbif.org/species/7705930,vildsvin,,carried-over (species_split_taxa_gbif_matches.csv),Sus,Suidae,Artiodactyla,Animalia,Sus scrofa,new order 'Artiodactyla'; new family 'Suidae'; new genus 'Sus'; new taxon 'Sus scrofa' (author_id NULL); new Swedish common name 'vildsvin'
mjölon,9,mjölon,Bear-grape,,Ericales,Ericaceae,Arctostaphylos,uva-ursi,Arctostaphylos uva-ursi,mjölon,2.0,,False,,species (common name),mjölon,Arctostaphylos uva-ursi,Plantae,2882580.0,Arctostaphylos uva-ursi,SPECIES,EXACT,100.0,https://www.gbif.org/species/2882580,mjölon,,carried-over (species_split_taxa_gbif_matches.csv),Arctostaphylos,Ericaceae,Ericales,Plantae,Arctostaphylos uva-ursi,"new taxon 'Arctostaphylos uva-ursi' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'mjölon'"
målla,8,målla,,,Caryophyllales,Chenopodiaceae,Chenopodium,sp.,,målla,2.0,TRUE,True,"no GBIF or SEAD match at any rank; ambiguous genus suffix match, candidates: Atriplex, Axyris, Bassia, Chenopodium","genus (suffix, ambiguous)",,,,,,,,,,målla,"Atriplex, Axyris, Bassia, Chenopodium",,,,,,,new taxon 'sp.' with genus_id = 404; new Swedish common name 'målla' attached to the new taxon_id.
cf pinus sp,8,cf pinus sp,Deal,,Pinales,Pinaceae,Pinus,sp.,Pinus sp.,Deal,1.0,,False,,genus (latin),,,Plantae,2684241.0,Pinus,GENUS,EXACT,96.0,https://www.gbif.org/species/2684241,pinus,,carried-over (species_split_taxa_gbif_matches.csv),Pinus,Pinaceae,Pinales,Plantae,Pinus,new English common name 'Deal'
svinmålla,8,"svinmålla, svinmålla (frö)",Lambsquarters,,Caryophyllales,Chenopodiaceae,Chenopodium,album var album,Chenopodium album var album,svinmålla,2.0,,False,,species (common name),svinmålla,Chenopodium album var album,Plantae,7219474.0,Chenopodium album album,VARIETY,EXACT,100.0,https://www.gbif.org/species/7219474,svinmålla,,carried-over (species_split_taxa_gbif_matches.csv),Chenopodium,Amaranthaceae,Caryophyllales,Plantae,Chenopodium album var album,
cf quercus sp,7,cf quercus sp,Acorn,,Fagales,Fagaceae,Quercus,sp.,Quercus sp.,Acorn,1.0,,False,,genus (latin),,,Plantae,2877951.0,Quercus,GENUS,EXACT,96.0,https://www.gbif.org/species/2877951,quercus,,carried-over (species_split_taxa_gbif_matches.csv),Quercus,Fagaceae,Fagales,Plantae,Quercus,new English common name 'Acorn'
cf vaccinium sp,7,"cf vaccinium sp, vaccinium sp",Bilberries,,Ericales,Ericaceae,Vaccinium,indet.,Vaccinium indet.,Bilberries,1.0,,False,,genus (latin),,,Plantae,2882813.0,Vaccinium,GENUS,EXACT,96.0,https://www.gbif.org/species/2882813,vaccinium,,carried-over (species_split_taxa_gbif_matches.csv),Vaccinium,Ericaceae,Ericales,Plantae,Vaccinium,new taxon 'Vaccinium indet.' (author_id NULL); new English common name 'Bilberries'
hallon,7,hallon,American Red Raspberry,,Rosales,Rosaceae,Rubus,idaeus,Rubus idaeus,hallon,2.0,,False,,species (common name),hallon,Rubus idaeus,Plantae,2993094.0,Rubus idaeus,SPECIES,EXACT,99.0,https://www.gbif.org/species/2993094,hallon,,carried-over (species_split_taxa_gbif_matches.csv),Rubus,Rosaceae,Rosales,Plantae,Rubus idaeus,new Swedish common name 'hallon'
svalört,6,"svalört, svalörtsrot",,,Ranunculales,Ranunculaceae,Ranunculus,ficaria ssp ficaria,Ranunculus ficaria ssp ficaria,svalört,2.0,,False,,species (common name),svalört,Ranunculus ficaria ssp ficaria,Plantae,8204202.0,Ranunculus ficaria ficaria,SUBSPECIES,EXACT,100.0,https://www.gbif.org/species/8204202,svalört,,carried-over (species_split_taxa_gbif_matches.csv),Ficaria,Ranunculaceae,Ranunculales,Plantae,Ranunculus ficaria ssp ficaria,
idegran,6,idegran,Canada Yew,,Pinales,Taxaceae,Taxus,baccata,Taxus baccata,idegran,2.0,,False,,species (common name),idegran,Taxus baccata,Plantae,5284517.0,Taxus baccata,SPECIES,EXACT,99.0,https://www.gbif.org/species/5284517,idegran,,carried-over (species_split_taxa_gbif_matches.csv),Taxus,Taxaceae,Pinales,Plantae,Taxus baccata,"new taxon 'Taxus baccata' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'idegran'"
igelknopp,6,"igelknopp, stor igelknopp",European Bur-reed,,Poales,Typhaceae,Sparganium,emersum,Sparganium emersum,igelknopp,2.0,,False,,species (common name),igelknopp,Sparganium emersum,Plantae,2702266.0,Sparganium emersum,SPECIES,EXACT,100.0,https://www.gbif.org/species/2702266,igelknopp,,carried-over (species_split_taxa_gbif_matches.csv),Sparganium,Typhaceae,Poales,Plantae,Sparganium emersum,"new taxon 'Sparganium emersum' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'igelknopp'"
ärta,6,ärta,,,Fabales,Fabaceae,Pisum,sp.,,ärt,2.0,TRUE,True,"no GBIF or SEAD match at any rank; ambiguous genus suffix match, candidates: Dicentra, Lamprocapnos","genus (suffix, ambiguous)",,,,,,,,,,ärta,"Dicentra, Lamprocapnos",,,,,,,new Swedish common name 'ärt' 
ros,6,ros,,,Rosales,Rosaceae,Rosa,sp.,,ros,2.0,TRUE,True,"no GBIF or SEAD match at any rank; ambiguous genus suffix match, candidates: Helianthus, Taraxacum, Rhododendron, Alcea, Nuphar, Nymphaea, Lathraea, Helleborus, Rosa","genus (suffix, ambiguous)",,,,,,,,,,ros,"Helianthus, Taraxacum, Rhododendron, Alcea, Nuphar, Nymphaea, Lathraea, Helleborus, Rosa",,,,,,,new taxon 'sp.' with genus_id = 963; new Swedish common name 'ros' attached to the new taxon_id.
bärris,6,bärris,,,Indet.,Indet.,Indet.,indet.,,,,PENDING,True,no GBIF or SEAD match at any rank,,,,,,,,,,,bärris,,,,,,,,
björn,6,björn,Brown Bear,,Carnivora,Ursidae,Ursus,arctos,Ursus arctos,björn,2.0,,False,,animal (common name),björn,Ursus arctos,Animalia,2433433.0,Ursus arctos,SPECIES,EXACT,100.0,https://www.gbif.org/species/2433433,björn,,carried-over (species_split_taxa_gbif_matches.csv),Ursus,Ursidae,Carnivora,Animalia,Ursus arctos,new order 'Carnivora'; new family 'Ursidae'; new genus 'Ursus'; new taxon 'Ursus arctos' (author_id NULL); new Swedish common name 'björn'
bränt?,6,bränt,,,Indet.,Indet.,Indet.,indet.,,,,PENDING,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping,,,,,,,,,,,bränt,,,,,,,,
cf picea sp,5,cf picea sp,Spruce,,Pinales,Pinaceae,Picea,abies ssp abies,Picea abies ssp abies,gran,2.0,,False,,genus (latin),,,Plantae,7606064.0,Picea,GENUS,EXACT,95.0,https://www.gbif.org/species/7606064,picea,,carried-over (species_split_taxa_gbif_matches.csv),Picea,Pinaceae,Pinales,Plantae,Picea,
cf alnus sp,5,cf alnus sp,Alder,,Fagales,Betulaceae,Alnus,sp.,Alnus sp.,Alder,1.0,,False,,genus (latin),,,Plantae,2876099.0,Alnus,GENUS,EXACT,95.0,https://www.gbif.org/species/2876099,alnus,,carried-over (species_split_taxa_gbif_matches.csv),Alnus,Betulaceae,Fagales,Plantae,Alnus,new English common name 'Alder'
cf tilia sp,5,cf tilia sp,Basswood,,Malvales,Tiliaceae,Tilia,sp.,Tilia sp.,Basswood,1.0,,False,,genus (latin),,,Plantae,3152041.0,Tilia,GENUS,EXACT,96.0,https://www.gbif.org/species/3152041,tilia,,carried-over (species_split_taxa_gbif_matches.csv),Tilia,Malvaceae,Malvales,Plantae,Tilia,new English common name 'Basswood'
gris,5,gris,Domestic Pig,,Artiodactyla,Suidae,Sus,scrofa domesticus,Sus scrofa domesticus,gris,2.0,,False,,animal (common name),gris,Sus scrofa domesticus,Animalia,11374585.0,Sus scrofa domesticus,SUBSPECIES,EXACT,99.0,https://www.gbif.org/species/11374585,gris,,carried-over (species_split_taxa_gbif_matches.csv),Sus,Suidae,Artiodactyla,Animalia,Sus scrofa domesticus,new order 'Artiodactyla'; new family 'Suidae'; new genus 'Sus'; new taxon 'Sus scrofa domesticus' (author_id NULL); new Swedish common name 'gris'
poppel,5,poppel,"Aspen, Cottonwood, Poplar",,Salicales,Salicaceae,Populus,sp.,Populus sp.,poppel,2.0,,False,,genus (suffix-inferred),,,Plantae,3040183.0,Populus,GENUS,EXACT,96.0,https://www.gbif.org/species/3040183,poppel,,carried-over (species_split_taxa_gbif_matches.csv),Populus,Salicaceae,Malpighiales,Plantae,Populus,new Swedish common name 'poppel'
vicker,5,vicker,Vetch,,Fabales,Fabaceae,Vicia,sp.,Vicia sp.,vicker,2.0,,False,,genus (suffix-inferred),,,Plantae,2974751.0,Vicia,GENUS,EXACT,96.0,https://www.gbif.org/species/2974751,vicker,,carried-over (species_split_taxa_gbif_matches.csv),Vicia,Fabaceae,Fabales,Plantae,Vicia,new Swedish common name 'vicker'
sorbus sp,5,"sorbus, sorbus sp",Mountain Ashes,,Rosales,Rosaceae,Sorbus,indet.,Sorbus indet.,Mountain Ashes,1.0,,False,,genus (latin),,,Plantae,3012146.0,Sorbus,GENUS,EXACT,96.0,https://www.gbif.org/species/3012146,sorbus,,carried-over (species_split_taxa_gbif_matches.csv),Sorbus,Rosaceae,Rosales,Plantae,Sorbus,new taxon 'Sorbus indet.' (author_id NULL); new English common name 'Mountain Ashes'
vikare,5,vikare,Arctic Ringed Seal,,Carnivora,Phocidae,Pusa,hispida,Pusa hispida,vikare,2.0,,False,,animal (common name),vikare,Pusa hispida,Animalia,5219369.0,Pusa hispida,SPECIES,EXACT,100.0,https://www.gbif.org/species/5219369,vikare,,carried-over (species_split_taxa_gbif_matches.csv),Pusa,Phocidae,Carnivora,Animalia,Pusa hispida,new order 'Carnivora'; new family 'Phocidae'; new genus 'Pusa'; new taxon 'Pusa hispida' (author_id NULL); new Swedish common name 'vikare'
pilört,5,pilört,Knotweed,,Caryophyllales,Polygonaceae,Persicaria,sp.,Persicaria sp.,pilört,2.0,,False,,genus (suffix-inferred),,,Plantae,6390748.0,Persicaria,GENUS,EXACT,95.0,https://www.gbif.org/species/6390748,pilört,,carried-over (species_split_taxa_gbif_matches.csv),Persicaria,Polygonaceae,Caryophyllales,Plantae,Persicaria,new Swedish common name 'pilört'
rådjur,4,rådjur,Corzo,,Artiodactyla,Cervidae,Capreolus,capreolus,Capreolus capreolus,rådjur,2.0,,False,,animal (common name),rådjur,Capreolus capreolus,Animalia,5220126.0,Capreolus capreolus,SPECIES,EXACT,100.0,https://www.gbif.org/species/5220126,rådjur,,carried-over (species_split_taxa_gbif_matches.csv),Capreolus,Cervidae,Artiodactyla,Animalia,Capreolus capreolus,new order 'Artiodactyla'; new family 'Cervidae'; new genus 'Capreolus'; new taxon 'Capreolus capreolus' (author_id NULL); new Swedish common name 'rådjur'
måra,4,måra,,,Gentianales,Rubiaceae,Galium,spp.,,måra,2.0,TRUE,True,"no GBIF or SEAD match at any rank; ambiguous genus suffix match, candidates: Asperula, Cruciata, Galium, Phuopsis","genus (suffix, ambiguous)",,,,,,,,,,måra,"Asperula, Cruciata, Galium, Phuopsis",,,,,,,new Swedish common name 'måra' 
olvon,4,olvon,Crampbark,,Asparagales,Alliaceae,Viburnum,opulus,Viburnum opulus,olvon,2.0,,False,,species (common name),olvon,Viburnum opulus,Plantae,2888605.0,Viburnum opulus,SPECIES,EXACT,100.0,https://www.gbif.org/species/2888605,olvon,,carried-over (species_split_taxa_gbif_matches.csv),Viburnum,Viburnaceae,Dipsacales,Plantae,Viburnum opulus,"new taxon 'Viburnum opulus' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'olvon'"
cf maloideae sp,3,"cf maloideae, cf maloideae sp",,,Rosales,Rosaceae,Rosaceae Indet,Indet,,,,TRUE,True,no GBIF or SEAD match at any rank,,,,,,,,,,,maloideae,,,,,,,,new genus 'Rosaceae Indet' with family_id 154; new species 'Indet' attached to new genius
cf acer sp,3,cf acer sp,Maple,,Alismatales,Acoraceae,Acer,sp.,Acer sp.,Maple,1.0,,False,,genus (latin),,,Plantae,3189834.0,Acer,GENUS,HIGHERRANK,95.0,https://www.gbif.org/species/3189834,acer,,carried-over (species_split_taxa_gbif_matches.csv),Acer,Sapindaceae,Sapindales,Plantae,Acer,new English common name 'Maple'
gädda,3,gädda,American Pike,,Esociformes,Esocidae,Esox,lucius,Esox lucius,gädda,2.0,,False,,animal (common name),gädda,Esox lucius,Animalia,2346633.0,Esox lucius,SPECIES,EXACT,100.0,https://www.gbif.org/species/2346633,gädda,,carried-over (species_split_taxa_gbif_matches.csv),Esox,Esocidae,Esociformes,Animalia,Esox lucius,new order 'Esociformes'; new family 'Esocidae'; new genus 'Esox'; new taxon 'Esox lucius' (author_id NULL); new Swedish common name 'gädda'
gråärt,3,gråärt,,,Indet.,Indet.,Indet.,indet.,,,,PENDING,True,weak GBIF match (VERNACULAR) / this species according to wikipedia. according to sead- already a common name for this is foderärt. not sure how to handle,gbif only (no prior SEAD anchor),,,Plantae,160020585.0,Pisum sativum arvense,VARIETY,VERNACULAR,,,gråärt,,species/search (vernacular),Pisum,Fabaceae,Fabales,Plantae,,new Swedish common name 'gråärt'
getapel,3,getapel,Buckthorn,,Rosales,Rhamnaceae,Rhamnus,cathartica,Rhamnus cathartica,getapel,2.0,TRUE,True,weak GBIF match (FUZZY),species (common name),getapel,Rhamnus catharticus,Plantae,3039491.0,Rhamnus cathartica,SPECIES,FUZZY,97.0,https://www.gbif.org/species/3039491,getapel,,carried-over (species_split_taxa_gbif_matches.csv),Rhamnus,Rhamnaceae,Rosales,Plantae,Rhamnus catharticus,"new taxon 'Rhamnus cathartica' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'getapel'"
hagtorn,3,hagtorn,Haw,,Rosales,Rosaceae,Crataegus,sp.,Crataegus sp.,hagtorn,2.0,,False,,genus (suffix-inferred),,,Plantae,3013395.0,Crataegus,GENUS,EXACT,96.0,https://www.gbif.org/species/3013395,hagtorn,,carried-over (species_split_taxa_gbif_matches.csv),Crataegus,Rosaceae,Rosales,Plantae,Crataegus,new Swedish common name 'hagtorn'
benved,3,benved,,,Insertis Sedis,Celastraceae,Evonymus,europaeus,Evonymus europaeus,benved,2.0,,False,,species (common name),benved,Evonymus europaeus,Plantae,7403009.0,Evonymus europaeus,SPECIES,EXACT,100.0,https://www.gbif.org/species/7403009,benved,,carried-over (species_split_taxa_gbif_matches.csv),Euonymus,Celastraceae,Celastrales,Plantae,Evonymus europaeus,"new taxon 'Evonymus europaeus' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'benved'"
böna?,3,böna,Bean,pseduospecies,Indet.,Indet.,Indet.,indet.,,,,PENDING,True,marked uncertain ('?') in the manual mapping,species (common name),böna,Phaseolus vulgaris,Plantae,5350452.0,Phaseolus vulgaris,SPECIES,EXACT,99.0,https://www.gbif.org/species/5350452,böna,,carried-over (species_split_taxa_gbif_matches.csv),Phaseolus,Fabaceae,Fabales,Plantae,Phaseolus vulgaris,"new taxon 'Phaseolus vulgaris' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'böna'"
triticum sp,3,triticum sp,Wheat,,Poales,Poaceae,Triticum,spp.,Triticum spp.,Wheat,1.0,,False,,genus (latin),,,Plantae,2706388.0,Triticum,GENUS,EXACT,96.0,https://www.gbif.org/species/2706388,triticum,,carried-over (species_split_taxa_gbif_matches.csv),Triticum,Poaceae,Poales,Plantae,Triticum,new English common name 'Wheat'
uroxe,3,uroxe,Auroch,,Artiodactyla,Bovidae,Bos,primigenius,Bos primigenius,uroxe,2.0,,False,,animal (common name),uroxe,Bos primigenius,Animalia,2441024.0,Bos primigenius,SPECIES,EXACT,100.0,https://www.gbif.org/species/2441024,uroxe,,carried-over (species_split_taxa_gbif_matches.csv),Bos,Bovidae,Artiodactyla,Animalia,Bos primigenius,new order 'Artiodactyla'; new family 'Bovidae'; new genus 'Bos'; new taxon 'Bos primigenius' (author_id NULL); new Swedish common name 'uroxe'
sälg,3,sälg,,,Salicales,Salicaceae,Salix,caprea ssp caprea,Salix caprea ssp caprea,sälg,2.0,,False,,species (common name),sälg,Salix caprea ssp caprea,Plantae,7544926.0,Salix caprea caprea,SUBSPECIES,EXACT,100.0,https://www.gbif.org/species/7544926,sälg,,carried-over (species_split_taxa_gbif_matches.csv),Salix,Salicaceae,Malpighiales,Plantae,Salix caprea ssp caprea,
gråsäl,3,gråsäl,Atlantic Gray Seal,,Carnivora,Phocidae,Halichoerus,grypus,Halichoerus grypus,gråsäl,2.0,,False,,animal (common name),gråsäl,Halichoerus grypus,Animalia,2434806.0,Halichoerus grypus,SPECIES,EXACT,100.0,https://www.gbif.org/species/2434806,gråsäl,,carried-over (species_split_taxa_gbif_matches.csv),Halichoerus,Phocidae,Carnivora,Animalia,Halichoerus grypus,new order 'Carnivora'; new family 'Phocidae'; new genus 'Halichoerus'; new taxon 'Halichoerus grypus' (author_id NULL); new Swedish common name 'gråsäl'
oxel,3,oxel,Rose Family,,Rosales,Rosaceae,Sorbus,intermedia,Sorbus intermedia,oxel,2.0,,False,,species (common name),oxel,Sorbus intermedia,Plantae,5015.0,Rosaceae,FAMILY,HIGHERRANK,99.0,https://www.gbif.org/species/5015,oxel,,carried-over (species_split_taxa_gbif_matches.csv),,Rosaceae,Rosales,Plantae,Sorbus intermedia,"new taxon 'Sorbus intermedia' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'oxel'"
rosa sp,3,rosa sp,Damask Rose,,Rosales,Rosaceae,Rosa,indet.,Rosa indet.,Damask Rose,1.0,,False,,genus (latin),,,Plantae,8395064.0,Rosa,GENUS,EXACT,95.0,https://www.gbif.org/species/8395064,rosa,,carried-over (species_split_taxa_gbif_matches.csv),Rosa,Rosaceae,Rosales,Plantae,Rosa,new taxon 'Rosa indet.' (author_id NULL); new English common name 'Damask Rose'
triticum aestivum,3,triticum aestivum,Bread Wheat,,Poales,Poaceae,Triticum,aestivum,Triticum aestivum,Bread Wheat,1.0,,False,,species (latin),,Triticum aestivum,Plantae,7795888.0,Triticum aestivum,SPECIES,EXACT,99.0,,triticum aestivum,,species/match,Triticum,Poaceae,Poales,Plantae,Triticum aestivum,"new taxon 'Triticum aestivum' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new English common name 'Bread Wheat'"
trampört,3,trampört,Knotgrass,,Caryophyllales,Polygonaceae,Polygonum,sp.,Polygonum sp.,trampört,2.0,,False,,genus (suffix-inferred),,,Plantae,2889077.0,Polygonum,GENUS,HIGHERRANK,95.0,https://www.gbif.org/species/2889077,trampört,,carried-over (species_split_taxa_gbif_matches.csv),Polygonum,Polygonaceae,Caryophyllales,Plantae,Polygonum,new Swedish common name 'trampört'
starrfrukt,3,"starrfrukt, starrfrukter",,,Poales,Cyperaceae,Carex,spp.,Carex sp.,starrsläktet,2.0,TRUE,True,no GBIF or SEAD match at any rank,,,,,,,,,,,starrfrukt,,,,,,,,new Swedish common name 'Starrsläktet'
säd,3,säd,,pseduospecies,Indet.,Indet.,Indet.,indet.,,,,PENDING,True,no GBIF or SEAD match at any rank,,,,,,,,,,,säd,,,,,,,,
rönn,3,rönn,European mountain-ash,,Rosales,Rosaceae,Sorbus,aucuparia ssp aucuparia,Sorbus aucuparia ssp aucuparia,rönn,2.0,,False,,species (common name),rönn,Sorbus aucuparia ssp aucuparia,Plantae,7272117.0,Sorbus aucuparia aucuparia,SUBSPECIES,EXACT,100.0,https://www.gbif.org/species/7272117,rönn,,carried-over (species_split_taxa_gbif_matches.csv),Sorbus,Rosaceae,Rosales,Plantae,Sorbus aucuparia ssp aucuparia,
vildapel,2,vildapel,Crab Apple,,Rosales,Rosaceae,Malus,sylvestris,Malus sylvestris,vildapel,2.0,,False,,species (common name),vildapel,Malus sylvestris,Plantae,3001509.0,Malus sylvestris,SPECIES,EXACT,99.0,https://www.gbif.org/species/3001509,vildapel,,carried-over (species_split_taxa_gbif_matches.csv),Malus,Rosaceae,Rosales,Plantae,Malus sylvestris,"new taxon 'Malus sylvestris' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'vildapel'"
äpple,2,"äppelkärna, äpple",,,Rosales,Rosaceae,Malus,domestica,,äpple,,TRUE,True,"no GBIF or SEAD match at any rank; ambiguous genus suffix match, candidates: Punicea, Solanum","genus (suffix, ambiguous)",,,,,,,,,,äpple,"Punicea, Solanum",,,,,,,"new taxon 'domestica' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'äpple'"
,2,,,,Indet.,Indet.,Indet.,indet.,,,,PENDING,False,,,,,,,,,,,,,,,,,,,,
delfin,2,delfin,Dolphin,,Cetacea,Delphinidae,Delphinidae indet,indet.,Delphinidae indet indet.,delfin,2.0,,False,,animal (family),delfin,,Animalia,5314.0,Delphinidae,FAMILY,EXACT,96.0,https://www.gbif.org/species/5314,delfin,,carried-over (species_split_taxa_gbif_matches.csv),,Delphinidae,Cetacea,Animalia,Delphinidae,new order 'Cetacea'; new family 'Delphinidae'; new genus 'Delphinidae indet'; new taxon 'Delphinidae indet indet.' (author_id NULL); new Swedish common name 'delfin'
fläder,2,fläder,Black Elder,,Alismatales,Alismataceae,Sambucus,nigra,Sambucus nigra,fläder,2.0,,False,,species (common name),fläder,Sambucus nigra,Plantae,2888728.0,Sambucus nigra,SPECIES,EXACT,99.0,https://www.gbif.org/species/2888728,fläder,,carried-over (species_split_taxa_gbif_matches.csv),Sambucus,Viburnaceae,Dipsacales,Plantae,Sambucus nigra,"new taxon 'Sambucus nigra' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'fläder'"
amulettring?,2,amulettring,,description,Indet.,Indet.,Indet.,indet.,,,,PENDING,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping,,,,,,,,,,,amulettring,,,,,,,,
hovdjur,2,stort hovdjur,,pseduospecies,Indet.,Indet.,Indet.,indet.,,,,PENDING,True,no GBIF or SEAD match at any rank,,,,,,,,,,,hovdjur,,,,,,,,
betula,2,betula,Birch,,Fagales,Betulaceae,Betula,sp.,Betula sp.,Birch,1.0,,False,,genus (latin),,,Plantae,2875008.0,Betula,GENUS,HIGHERRANK,95.0,https://www.gbif.org/species/2875008,betula,,carried-over (species_split_taxa_gbif_matches.csv),Betula,Betulaceae,Fagales,Plantae,Betula,new English common name 'Birch'
tiggarranunkel,2,tiggarranunkel,,,Ranunculales,Ranunculaceae,Ranunculus,scleratus,Ranunculus scleratus,tiggarranunkel,2.0,,False,,species (common name),tiggarranunkel,Ranunculus scleratus,Plantae,9065081.0,Ranunculus scleratus,SPECIES,EXACT,100.0,https://www.gbif.org/species/9065081,tiggarranunkel,,carried-over (species_split_taxa_gbif_matches.csv),Ranunculus,Ranunculaceae,Ranunculales,Plantae,Ranunculus scleratus,"new taxon 'Ranunculus scleratus' (author_id NULL) (existing match is author-attributed, so a fresh one was needed); new Swedish common name 'tiggarranunkel'"
kalkbruk?,2,kalkbruk,,,Indet.,Indet.,Indet.,indet.,,,,PENDING,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping,,,,,,,,,,,kalkbruk,,,,,,,,
jurpa,2,jurpa,,,Indet.,Indet.,Indet.,indet.,,,,PENDING,True,no GBIF or SEAD match at any rank,,,,,,,,,,,jurpa,,,,,,,,
kråkbär,2,kråkbär,Crowberry,,Ericales,Ericaceae,Empetrum,nigrum ssp nigrum,Empetrum nigrum ssp nigrum,kråkbär,2.0,,False,,species (common name),kråkbär,Empetrum nigrum ssp nigrum,Plantae,6387990.0,Empetrum nigrum nigrum,SUBSPECIES,EXACT,100.0,https://www.gbif.org/species/6387990,kråkbär,,carried-over (species_split_taxa_gbif_matches.csv),Empetrum,Ericaceae,Ericales,Plantae,Empetrum nigrum ssp nigrum,
katt,2,katt,Alley Cat,,Carnivora,Felidae,Felis,catus,Felis catus,katt,2.0,,False,,animal (common name),katt,Felis catus,Animalia,2435035.0,Felis catus,SPECIES,EXACT,100.0,https://www.gbif.org/species/2435035,katt,,carried-over (species_split_taxa_gbif_matches.csv),Felis,Felidae,Carnivora,Animalia,Felis catus,new order 'Carnivora'; new family 'Felidae'; new genus 'Felis'; new taxon 'Felis catus' (author_id NULL); new Swedish common name 'katt'
kornell,2,kornell,Dogwood,,Cornales,Cornaceae,Cornus,indet.,Cornus indet.,kornell,2.0,,False,,genus (suffix-inferred),,,Plantae,3082226.0,Cornus,GENUS,EXACT,96.0,https://www.gbif.org/species/3082226,kornell,,carried-over (species_split_taxa_gbif_matches.csv),Cornus,Cornaceae,Cornales,Plantae,Cornus,new taxon 'Cornus indet.' (author_id NULL); new Swedish common name 'kornell'
makrofossil?,2,makrofossil,,description,Indet.,Indet.,Indet.,indet.,,,,PENDING,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping,,,,,,,,,,,makrofossil,,,,,,,,
ostron,2,ostron,Edible oyster,,Ostreida,Ostreidae,Ostrea,edulis,Ostrea edulis,ostron,2.0,,False,,animal (common name),ostron,Ostrea edulis,Animalia,2286060.0,Ostrea edulis,SPECIES,EXACT,100.0,https://www.gbif.org/species/2286060,ostron,,carried-over (species_split_taxa_gbif_matches.csv),Ostrea,Ostreidae,Ostreida,Animalia,Ostrea edulis,new order 'Ostreida'; new family 'Ostreidae'; new genus 'Ostrea'; new taxon 'Ostrea edulis' (author_id NULL); new Swedish common name 'ostron'
