author_raw,author_parsed,needs_review,flag_reason
"Carlsson, Ilona","Carlsson, I.",False,
"Carlsson, Jonas","Carlsson, J.",False,
"Carlsson, M., Lindh, m., Sander, B, & Vinberg, A","Carlsson, M., Lindh, M., Sander, B. & Vinberg, A.",False,
"Carlsson, Martin","Carlsson, M.",False,
"Carlsson, Michael","Carlsson, M.",False,
"Carlsson, Michél","Carlsson, M.",False,
"Carlsson, Michél & Svensson, Kenneth","Carlsson, M. & Svensson, K.",False,
"Carlsson, R., Elfwendahl, M. & Perming, A.","Carlsson, R., Elfwendahl, M. & Perming, A.",False,
"Carlsson, R., Qviström, L., Syse, B. & Wallebom, U","Carlsson, R., Qviström, L., Syse, B. & Wallebom, U.",False,
"Carlsson, Ronnie","Carlsson, R.",False,
"Carlsson, Tom","Carlsson, T.",False,
"Carlsson, Tom & Jönis, Rosanna","Carlsson, T. & Jönis, R.",False,
"Carlsson, Tom m fl","Carlsson, T. et al.",False,et_al
"Carlsson, Tom, Elfstrand, Bengt m.fl","Carlsson, T. & Elfstrand, B. et al.",False,et_al
"Carlstein, Caj","Carlstein, C.",False,
"Celin, Ulf","Celin, U.",False,
"Celin, Ulf & Ekluind, Susanna","Celin, U. & Ekluind, S.",False,
"Celin, Ulf & Guinard, Michel","Celin, U. & Guinard, M.",False,
"Celin, Ulf & Wikborg, Jonas","Celin, U. & Wikborg, J.",False,
"Christiansson, Hans & Knutsson, Kjel (ed)","Christiansson, H. & Knutsson, K.",False,
"Christoffersson, Kerstin","Christoffersson, K.",False,
"Chíobháin, Delia Ní","Chíobháin, D.",False,
"Claesson, Eivind","Claesson, E.",False,
"Claesson, P., Andersson, J & Johansson, G","Claesson, P., Andersson, J. & Johansson, G.",False,
"Claesson, Pia","Claesson, P.",False,
"Claesson, Pia (red)","Claesson, P. (ed.)",False,editor
"Claesson, Pia m fl","Claesson, P. et al.",False,et_al
"Claesson, Pia, (red)","Claesson, P. (ed.)",False,editor
"Claréus, Carin","Claréus, C.",False,
"Clàesson, Annelie & Feldt, Ann-Charlott","Clàesson, A. & Feldt, A.",False,
"Connelid, Per","Connelid, P.",False,
"Connelid, Pär","Connelid, P.",False,
"Connelid, Pär & Lindman, Gundela","Connelid, P. & Lindman, G.",False,
"Connelid, Pär & Ängeby, Gisela","Connelid, P. & Ängeby, G.",False,
"Crawford, J., Olsson, K. & Ortman, O.","Crawford, J., Olsson, K. & Ortman, O.",False,
"Cronberg, C. & Schmidt Sabo, K","Cronberg, C. & Schmidt Sabo, K.",False,
"Cullberg, C. & Cullberg, K. (red)","Cullberg, C. & Cullberg, K. (ed.)",False,editor
"Cullberg, Kjerstin","Cullberg, K.",False,
Dalarnas Museum,Dalarnas Museum,True,no_comma
"Damell, David","Damell, D.",False,
"Damell, David &  Olle Lorin, Olle","Damell, D. & Olle Lorin, O.",False,
"Dardel, Eric","Dardel, E.",False,
"Dardel, Erik","Dardel, E.",False,
"Dardel, Erik & Norr, Svante","Dardel, E. & Norr, S.",False,
"Dardel, Erik & Spijkerman, Igela","Dardel, E. & Spijkerman, I.",False,
"Darmark, K., Guinard, M. & Stenbeck, N","Darmark, K., Guinard, M. & Stenbeck, N.",False,
"Darmark, Kim m fl","Darmark, K. et al.",False,et_al
"Ditra Leivas, Ivonne","Ditra Leivas, I.",False,
"Drotz, Margareta","Drotz, M.",False,
"Drotz, Margareta & Ekman, Tomas","Drotz, M. & Ekman, T.",False,
"Dunkan, Alexander","Dunkan, A.",False,
"Dunér, J & Mutikainen, M","Dunér, J. & Mutikainen, M.",False,
"Dunér, J., Ericsson, A., Evanni, L. och Runcis, J.","Dunér, J., Ericsson, A., Evanni, L. & Runcis, J.",False,
"Dunér, Jan","Dunér, J.",False,
"Dunér, Jan & Evanni, Louise","Dunér, J. & Evanni, L.",False,
"Dunér, Jan & Vinberg, Ann","Dunér, J. & Vinberg, A.",False,
"Dutra Leivas, Ivonne","Dutra Leivas, I.",False,
"Dutra Leivas, Ivonne & Victor, Helena","Dutra Leivas, I. & Victor, H.",False,
"Dutra Leivas, Ivonne & Åstrand, Johan","Dutra Leivas, I. & Åstrand, J.",False,
"Dutra Leivas, Ivonne m fl","Dutra Leivas, I. et al.",False,et_al
"Dutra Leivas, Ivonne. & Hennius, Andreas","Dutra Leivas, I. & Hennius, A.",False,
E-post,E-post,True,no_comma
"Eboskog, Mats","Eboskog, M.",False,
"Eboskog, Mikael","Eboskog, M.",False,
"Edenmo, R., Graner, G., Larsson, H, "" Lindholm, P.","Edenmo, R., Graner, G., Larsson, H. & "" Lindholm, P.",False,
"Edenmo, R., Hamilton, J. & Stjerna, N.","Edenmo, R., Hamilton, J. & Stjerna, N.",False,
"Edenmo, Roger","Edenmo, R.",False,
"Edenmo, Roger & Nordell, Maria","Edenmo, R. & Nordell, M.",False,
"Edenmo, Roger & Strucke, Ulf","Edenmo, R. & Strucke, U.",False,
"Edenmo, Roger & Vinberg, Ann","Edenmo, R. & Vinberg, A.",False,
"Edlund, Martin","Edlund, M.",False,
"Edlund, Martin & Evanni, Louise","Edlund, M. & Evanni, L.",False,
"Edring, Anders","Edring, A.",False,
Edring. Anders,"Edring, A.",False,no_comma
"Edvinsson, Anders","Edvinsson, A.",False,
"Egebäck, Anna m fl","Egebäck, A. et al.",False,et_al
"Egebäck, P-E., Eriksson, M., Graner, G. & Holm, J.","Egebäck, P., Eriksson, M., Graner, G. & Holm, J.",False,
"Egebäck, P-E., Graber, G., Holm, J","Egebäck, P., Graber, G. & Holm, J.",False,
"Egebäck, Per-Erik","Egebäck, P.",False,
"Ekblom, Camilla","Ekblom, C.",False,
"Ekerow, Hans & Ingwald, Johan","Ekerow, H. & Ingwald, J.",False,
"Ekholm, Therese","Ekholm, T.",False,
"Eklund Susanna & Prata, Sofia","Eklund Susanna & Prata, Sofia",True,odd_tokens
"Eklund Susanna & Wikborg, Jonas","Eklund Susanna & Wikborg, Jonas",True,odd_tokens
"Eklund, Eklund","Eklund, E.",False,
"Eklund, Susanna","Eklund, S.",False,
"Eklund, Susanna &Thölin, Fredrik","Eklund, S. & Thölin, F.",False,
"Eklöf, Nina","Eklöf, N.",False,
"Ekman, Thomas & Seving, Bo","Ekman, T. & Seving, B.",False,
"Ekman, Thomas & Sundberg, Karin","Ekman, T. & Sundberg, K.",False,
"Ekman, Tomas","Ekman, T.",False,
"Ekman, Tomas & Neander, Karin","Ekman, T. & Neander, K.",False,
"Ekman, Tomas m fl","Ekman, T. et al.",False,et_al
"Ekstrand, Sofie","Ekstrand, S.",False,
"Elfstrand, Bengt","Elfstrand, B.",False,
"Elfstrand, Bengt & Vinberg, Ann","Elfstrand, B. & Vinberg, A.",False,
"Elfwendahl, Magnus","Elfwendahl, M.",False,
"Eliason, Laila","Eliason, L.",False,
"Eliasson, L., Forsberg, L., Georg, O., m fl","Eliasson, L., Forsberg, L. & Georg, O. et al.",False,et_al
"Eliasson, Laila","Eliasson, L.",False,
"Elisabet Pettersson & Eklund, Susanna","Elisabet Pettersson & Eklund, Susanna",True,odd_tokens
"Elisasson, Laila & Kishonti, Ingela","Elisasson, L. & Kishonti, I.",False,
"Emanuelsson Maud & Harrysson, Ingela","Emanuelsson Maud & Harrysson, Ingela",True,odd_tokens
"Emanuelsson, M. & Harrysson, I.","Emanuelsson, M. & Harrysson, I.",False,
"Emanuelsson, M., Johansson, A., m.fl.","Emanuelsson, M. & Johansson, A. et al.",False,et_al
"Emanuelsson, Maud","Emanuelsson, M.",False,
"Emanuelsson, Maud & Holm, Jenny","Emanuelsson, M. & Holm, J.",False,
"Emanuelsson, Maud & Lihammer, Anna","Emanuelsson, M. & Lihammer, A.",False,
"Emanuelsson, Maud & Säl, Elinl","Emanuelsson, M. & Säl, E.",False,
"Emanuelsson, Maud m fl","Emanuelsson, M. et al.",False,et_al
"Emanuelsson, maud","Emanuelsson, M.",False,
Emanuelsson. Maud,"Emanuelsson, M.",False,no_comma
"Emauelsson, Maud m fl","Emauelsson, M. et al.",False,et_al
"Emilsson A., Lundholm, S. & Vestbö Franzen, Å.","Emilsson A., Lundholm, S. & Vestbö Franzen, Å",True,odd_tokens
"Emilsson, A., Gunnarsson, F, & Åstrand , J","Emilsson, A., Gunnarsson, F. & Åstrand, J.",False,
"Emilsson, A., Jansson, K. & Thérus, Jhonny","Emilsson, A., Jansson, K. & Thérus, J.",False,
"Emilsson, Andreas","Emilsson, A.",False,
"Emilsson, Andreas & Åstrand Johan","Emilsson, Andreas & Åstrand Johan",True,odd_tokens
"Emilsson, Andreas m. fl","Emilsson, A. et al.",False,et_al
"Emmanuelsson, Maud","Emmanuelsson, M.",False,
"Enebäck, Berit & Engman, Fredrik","Enebäck, B. & Engman, F.",False,
"Englund, Lars-Erik","Englund, L.",False,
"Englund, Mia","Englund, M.",False,
"Englund, Mia & Hamilton, John","Englund, M. & Hamilton, J.",False,
"Englund, Mia m fl","Englund, M. et al.",False,et_al
"Engman, Anna","Engman, A.",False,
"Engman, F., Nylén, A, Stark, K.","Engman, F., Nylén, A. & Stark, K.",False,
"Engman, Fredrik","Engman, F.",False,
"Engman, Fredrik & Duffin, Michael","Engman, F. & Duffin, M.",False,
"Engman, Fredrik & Säfström, Simon","Engman, F. & Säfström, S.",False,
"Engman, Fredrik & Ternström, Clas","Engman, F. & Ternström, C.",False,
"Engman, Patrik","Engman, P.",False,
"Engman, fredrik","Engman, F.",False,
"Engström, Tony","Engström, T.",False,
"Engström, Tony & Pettersson, Elisabet","Engström, T. & Pettersson, E.",False,
"Engström, Tony & Wikborg, Jonas","Engström, T. & Wikborg, J.",False,
"Enqvist, Delia Ní Chíobháin & Gainsford, Matthew","Enqvist, D. & Gainsford, M.",False,
"Ericson Borggren, T., Olsson, M.","Ericson Borggren, T. & Olsson, M.",False,
"Ericson Borggren, Tyra","Ericson Borggren, T.",False,
"Ericson, Lagerås, Karin","Ericson, Lagerås, Karin",True,odd_tokens
"Ericson, T., Månsson, S. & Serlander, D.","Ericson, T., Månsson, S. & Serlander, D.",False,
"Ericson, Tyra","Ericson, T.",False,
"Ericson, Tyra & Hellerström, Sven","Ericson, T. & Hellerström, S.",False,
"Ericson, Tyra & Henriksson, Michael","Ericson, T. & Henriksson, M.",False,
"Ericson, Tyra & Knarrström, Annika","Ericson, T. & Knarrström, A.",False,
"Ericson, Tyra & Lagergren, Lagergren","Ericson, T. & Lagergren, L.",False,
"Ericson, Tyra & Serlander, Daniel","Ericson, T. & Serlander, D.",False,
"Ericson, Tyra & Trulsson, Nina","Ericson, T. & Trulsson, N.",False,
"Ericson, Tyra & Wickberg, Ylva","Ericson, T. & Wickberg, Y.",False,
"Ericson, Tyra m fl","Ericson, T. et al.",False,et_al
"Ericsson, Alf","Ericsson, A.",False,
"Ericsson, Alf & Carson, Tom","Ericsson, A. & Carson, T.",False,
"Ericsson, Alf & Franzén, Gert","Ericsson, A. & Franzén, G.",False,
"Ericsson, Alf & Nilsson, Per","Ericsson, A. & Nilsson, P.",False,
"Ericsson, Alf & Stenvall, Johan","Ericsson, A. & Stenvall, J.",False,
"Ericsson, Alf m. fl","Ericsson, A. et al.",False,et_al
"Ericsson, Alf, Petersson, Maria & Ranheden, Håkan","Ericsson, A., Petersson, M. & Ranheden, H.",False,
"Ericsson, Gertie","Ericsson, G.",False,
"Ericsson, Tyra","Ericsson, T.",False,
Eriksson Katarina,Eriksson Katarina,True,no_comma
"Eriksson, Andreas Alexandersson, Kennwth","Eriksson, Andreas Alexandersson, Kennwth",True,odd_tokens
"Eriksson, Caroline","Eriksson, C.",False,
"Eriksson, K. Persson, M. & Ulfhielm, B","Eriksson, K. Persson, M. & Ulfhielm, B",True,odd_tokens
"Eriksson, Katarina & Gran Danielsson, Benjamin","Eriksson, K. & Gran Danielsson, B.",False,
"Eriksson, Magnus & Wikell, Roger","Eriksson, M. & Wikell, R.",False,
"Eriksson, Markus","Eriksson, M.",False,
"Eriksson, Mats","Eriksson, M.",False,
"Eriksson, T., Anderung-Nordin, Ch., Wigg, A-S","Eriksson, T., Anderung-Nordin, C. & Wigg, A.",False,
"Eriksson, T., Holm, J., Lindkvist, A & Westin, Å.","Eriksson, T., Holm, J., Lindkvist, A. & Westin, Å.",False,
"Eriksson, Thomas","Eriksson, T.",False,
"Eriksson, Thomas & Anund, Johan","Eriksson, T. & Anund, J.",False,
"Eriksson, Thomas & Häringe Friborg, Kajsa","Eriksson, T. & Häringe Friborg, K.",False,
"Eriksson, Thomas & Nelsson, Mats","Eriksson, T. & Nelsson, M.",False,
"Eriksson, Thomas & Ählström, Jan","Eriksson, T. & Ählström, J.",False,
"Eriksson, Thomas & Östling, Anna","Eriksson, T. & Östling, A.",False,
"Eriksson, Thomas m fl","Eriksson, T. et al.",False,et_al
"Eriksson, katarina","Eriksson, K.",False,
"Ersson, Per-Göran","Ersson, P.",False,
"Evan Skloe, J & Hellgren, Mats","Evan Skloe, J. & Hellgren, M.",False,
"Evan Skole, J & Lega, Johanna","Evan Skole, J. & Lega, J.",False,
"Evanni, L., Englund, M. & Forenius, S.","Evanni, L., Englund, M. & Forenius, S.",False,
"Evanni, L., Hamilton, J., Lindwall, L & Runer, J","Evanni, L., Hamilton, J., Lindwall, L. & Runer, J.",False,
"Evanni, L., Nilsson, M.l. & Renck, A. M.,","Evanni, L., Nilsson, M. & Renck, A.",False,
"Evanni, Louise","Evanni, L.",False,
"Evanni, Louise & Johansson, Åke","Evanni, L. & Johansson, Å.",False,
"Evanni, Louise & Strucke, Ulf","Evanni, L. & Strucke, U.",False,
"Evertsson, Elin (projled.)","Evertsson, E.",False,
"Evertsson, Elin m fl","Evertsson, E. et al.",False,et_al
"Fagerlund, Dan","Fagerlund, D.",False,
"Fagerlund, Dan & Frölund, Per","Fagerlund, D. & Frölund, P.",False,
"Fagerlund, Dan & Hennius, Andreas","Fagerlund, D. & Hennius, A.",False,
"Fagerlund, Dan & Qviström, Linda","Fagerlund, D. & Qviström, L.",False,
"Fagerlund, Dan & Rosborg, Britta","Fagerlund, D. & Rosborg, B.",False,
"Fagerlund, Dan & Åberg, Kerstin","Fagerlund, D. & Åberg, K.",False,
"Fagerlund, Dan m fl","Fagerlund, D. et al.",False,et_al
"Fagerlund, Dan. Rapport 2: Svedberg, Åsa","Fagerlund, Dan. Rapport 2: Svedberg, Åsa",True,"digits,odd_tokens"
"Fahlberg, David","Fahlberg, D.",False,
"Falkenström, Per","Falkenström, P.",False,
"Falkenström, p., Guinard, M. & Stenbeck, N","Falkenström, P., Guinard, M. & Stenbeck, N.",False,
"Feldt, A-C., Hörfors, O., Skoglund, M.","Feldt, A., Hörfors, O. & Skoglund, M.",False,
"Feldt, Ann-Charlott","Feldt, A.",False,
"Feldt, Ann-Charlott & Burman, Ann-Christin","Feldt, A. & Burman, A.",False,
"Feldt, Ann-Charlott & Lindberg, Markus","Feldt, A. & Lindberg, M.",False,
"Feldt, Ann-Charlott & Svarvar, Kjell","Feldt, A. & Svarvar, K.",False,
"Feldt, Ann-Charlott & Wennerlund, Jessica","Feldt, A. & Wennerlund, J.",False,
"Feldt, Ann-Charlott & hörfors, Olle","Feldt, A. & hörfors, O.",False,
"Feldt, Ann.Charlott","Feldt, A.",False,
"Feldt,Ann-Charlott","Feldt, A.",False,
"Fendin, T., Ericson, T. & Persson, C.","Fendin, T., Ericson, T. & Persson, C.",False,
"Fendin, Titti","Fendin, T.",False,
"Fendin, Titti & Ericson Borgren, Tyra","Fendin, T. & Ericson Borgren, T.",False,
"Fernholm, Ragnhild","Fernholm, R.",False,
"Filipsson, Else-Britt","Filipsson, E.",False,
"Filipsson, Else-Britt & von der Luft, Magnus","Filipsson, E. & von der Luft, M.",False,particle
"Flodin, Barbro","Flodin, B.",False,
"Flodin, Lena & Hyenstrand, Eva","Flodin, L. & Hyenstrand, E.",False,
"Flodström, Lars","Flodström, L.",False,
"Flood, Agneta","Flood, A.",False,
"Flood, Agneta & Hed Jakobsson, Anna","Flood, A. & Hed Jakobsson, A.",False,
"Flöög, Stefan & Pajusi, Arwo","Flöög, S. & Pajusi, A.",False,
"Foghammar, Marianne & Sander, Birgitta","Foghammar, M. & Sander, B.",False,
"Foghammar-Summanen, Marianne","Foghammar-Summanen, M.",False,
"Forenius, Svante & Lindberg Karl-Fredrik","Forenius, Svante & Lindberg Karl-Fredrik",True,odd_tokens
"Forenius, Svante & Lindberg, Karl-Fredrik","Forenius, S. & Lindberg, K.",False,
"Forenius, svante m fl","Forenius, S. et al.",False,et_al
"Forholt, Martin","Forholt, M.",False,
"Fors, T., Viking, U. & Wranning, P","Fors, T., Viking, U. & Wranning, P.",False,
"Fors, Tina","Fors, T.",False,
"Fors, Tina & Gerdin, Anna-Lena","Fors, T. & Gerdin, A.",False,
"Fors, Tina & Westergaard, Bengt","Fors, T. & Westergaard, B.",False,
"Forsberg, Lennart","Forsberg, L.",False,
"Forsberg, Lennart & George, Ola","Forsberg, L. & George, O.",False,
"Forsberg, Madeleine & Rönngren, Johnny","Forsberg, M. & Rönngren, J.",False,
"Forsell, Ellinopr & Olsson, Hans","Forsell, E. & Olsson, H.",False,
"Forsell, Ellinor","Forsell, E.",False,
"Forsell, Ellinor & Wallbom, Björn","Forsell, E. & Wallbom, B.",False,
"Forsgren, Andreas","Forsgren, A.",False,
"Forsman, Camilla","Forsman, C.",False,
"Forsman, Camilla & Hagström, Sara","Forsman, C. & Hagström, S.",False,
"Forsman, Camilla & Victor, Helena","Forsman, C. & Victor, H.",False,
"Forssblad, Dag","Forssblad, D.",False,
"Forssell, Ellinor","Forssell, E.",False,
"Forssell, Ellinor & Wallbom, Björn","Forssell, E. & Wallbom, B.",False,
"Franzén, B-M, Göthberg, H & Karlenby, L","Franzén, B., Göthberg, H. & Karlenby, L.",False,
"Franzén, Bitte & Schützler, Lillemor","Franzén, B. & Schützler, L.",False,
"Franzén, Britt-Marie & Färjare, Anette","Franzén, B. & Färjare, A.",False,
"Franzén, Gert 6 Hörfors, Olle","Franzén, Gert 6 Hörfors, Olle",True,"digits,odd_tokens"
"Fredholm, Mikael","Fredholm, M.",False,
"Fredholm, Mikael & Draeseke, Trevor","Fredholm, M. & Draeseke, T.",False,
"Fredholm, Mikael & Hansson, Jim","Fredholm, M. & Hansson, J.",False,
"Fredman, Per-Olof","Fredman, P.",False,
"Fredriksson, Bo","Fredriksson, B.",False,
"Frejd, Joakim","Frejd, J.",False,
"Friberg, Louise","Friberg, L.",False,
"Fridén, Imelda Bakunic","Fridén, I.",False,
"Friman, Bo","Friman, B.",False,
"Friman, Bo & Lagerås, Per","Friman, B. & Lagerås, P.",False,
"Frisk, Mattias","Frisk, M.",False,
"Frisk, Mattias & Ortman, Oscar","Frisk, M. & Ortman, O.",False,
"Frykberg, Y & Lindgren, C","Frykberg, Y. & Lindgren, C.",False,
"Frykberg, Y, Granath Zillén, G & Lindh, M","Frykberg, Y., Granath Zillén, G. & Lindh, M.",False,
"Frykberg, Yvonne","Frykberg, Y.",False,
"Frykberg, Yvonne & Lindholm, Pehr","Frykberg, Y. & Lindholm, P.",False,
"Frölund, Per","Frölund, P.",False,
"Frölund, Per & Larsson, Lars-Inge","Frölund, P. & Larsson, L.",False,
"Frölund, Per & Schütz, Berit (red)","Frölund, P. & Schütz, B. (ed.)",False,editor
"Frölund, Per m fl","Frölund, P. et al.",False,et_al
"Furingsten, Agne","Furingsten, A.",False,
"Färgare, Eldrun","Färgare, E.",False,
"Färjare, Anette","Färjare, A.",False,
"Färjare, Anette & Hammar, Dag","Färjare, A. & Hammar, D.",False,
"Färjare, Anette & Olsson, Eva","Färjare, A. & Olsson, E.",False,
"Färjare, Anette & Perming, Anna","Färjare, A. & Perming, A.",False,
"Färjare, Anette & Strucke, Ulr","Färjare, A. & Strucke, U.",False,
"Färjare, Anette & Wikell, Roger","Färjare, A. & Wikell, R.",False,
"Gainsford, Matthew","Gainsford, M.",False,
"Gardeström, Sten","Gardeström, S.",False,
"Gatti, Ch., Holm, J & Säll, E.","Gatti, C., Holm, J. & Säll, E.",False,
"Gatti, Christian","Gatti, C.",False,
"Gatti, Christian & Holm, Jenny","Gatti, C. & Holm, J.",False,
"Gatti, Christian & Jensen, Ronnie","Gatti, C. & Jensen, R.",False,
"Gatti, Christian & holm, Jenny","Gatti, C. & holm, J.",False,
"Gatti, Christian & Ählström, Jan","Gatti, C. & Ählström, J.",False,
"Gatti, Christian m fl","Gatti, C. et al.",False,et_al
"Gauffin, Sten","Gauffin, S.",False,
"Georg, Ola","Georg, O.",False,
"George, Ola","George, O.",False,
"George, Ola & Ulfhielm, Bo","George, O. & Ulfhielm, B.",False,
"George, Ola & Valdimarsdóttir, Inga Hlín","George, O. & Valdimarsdóttir, I.",False,
"Gerdin, Anna-Lena","Gerdin, A.",False,
"Gerdin, Anna-Lena & Munkenberg, Betty-Ann","Gerdin, A. & Munkenberg, B.",False,
"Gerdin, Anna-Lena & Streiffert, Jörgen","Gerdin, A. & Streiffert, J.",False,
"Gidlöf, K., Hammarstrand Dehman, K & Johansson, T.","Gidlöf, K., Hammarstrand Dehman, K. & Johansson, T.",False,
"Gill, Alexander","Gill, A.",False,
"Gillbrand, Patrik & Norberg, Lars","Gillbrand, P. & Norberg, L.",False,
"Glöde, Anette","Glöde, A.",False,
"Gob, André","Gob, A.",False,
"Goldhahn, Joakim","Goldhahn, J.",False,
"Gollwitzer, Martin","Gollwitzer, M.",False,
Grahn Danielson Benjamin,Grahn Danielson Benjamin,True,no_comma
"Grahn Danielson, Bejamin & Gunnarsson, Daniel","Grahn Danielson, B. & Gunnarsson, D.",False,
"Grahn Danielson, Benjamin","Grahn Danielson, B.",False,
"Grahn Danielson, Benjamin & Gunnarsson, Daniel","Grahn Danielson, B. & Gunnarsson, D.",False,
"Grahn Danielsson, Benjamin","Grahn Danielsson, B.",False,
"Grahn-Danielsson, Benjamin","Grahn-Danielsson, B.",False,
"Grahn-Danielsson, Benjamin & Toreld, Andreas","Grahn-Danielsson, B. & Toreld, A.",False,
"Gran Danielsson, Benjamin","Gran Danielsson, B.",False,
"Gran-Danielson, Nejamin & Östlund, Annika","Gran-Danielson, N. & Östlund, A.",False,
"Granath Zillén, Gunilla","Granath Zillén, G.",False,
"Granath, Y., von der Luft, M. & Rönnkvist, K.","Granath, Y., von der Luft, M. & Rönnkvist, K.",False,particle
"Granath-Zillén, Gunilla m fl","Granath-Zillén, G. et al.",False,et_al
"Grandin, L., Hjärthner-Holdar, E., Strucke, U.","Grandin, L., Hjärthner-Holdar, E. & Strucke, U.",False,
"Grandin, Lena","Grandin, L.",False,
"Grandin, Lena & Hjärthner-Holdar, Eva","Grandin, L. & Hjärthner-Holdar, E.",False,
"Grandin, Lena & Häggström, Leif","Grandin, L. & Häggström, L.",False,
"Grandin, Lena & Willim, Annika","Grandin, L. & Willim, A.",False,
"Grandin, Lena, Andersson, Aniel","Grandin, L. & Andersson, A.",False,
"Graner, G., Holm, J. & Hårding, B.","Graner, G., Holm, J. & Hårding, B.",False,
"Graner, G., Knabe, E & Thorsberg, K.","Graner, G., Knabe, E. & Thorsberg, K.",False,
"Graner, Gunlög","Graner, G.",False,
"Graner, Gunlög & Johannessen, Ann-Cathrine","Graner, G. & Johannessen, A.",False,
"Graner, Gunlög & Luthander, Ann","Graner, G. & Luthander, A.",False,
"Granlund, Susanne","Granlund, S.",False,
"Grehn, Fredrik","Grehn, F.",False,
"Grehn, Fredrik & Boström ,Sebastian","Grehn, F. & Boström, S.",False,
"Grehn, Fredrik & Brink, Kristian","Grehn, F. & Brink, K.",False,
"Grehn, Fredrik & Ohlsson, Therese","Grehn, F. & Ohlsson, T.",False,
"Grehn, Fredrik & Öijeberg, Jan","Grehn, F. & Öijeberg, J.",False,
"Grenler, Helen & Strucke, Ulf","Grenler, H. & Strucke, U.",False,
"Grimbe, Jannica","Grimbe, J.",False,
"Groop, Niklas","Groop, N.",False,
"Gruber, Göran","Gruber, G.",False,
"Gruber, Göran m fl","Gruber, G. et al.",False,et_al
"Grundberg, Leif & Hellberg, Katarina","Grundberg, L. & Hellberg, K.",False,
"Grundberg, Leif & Hembjer, Pernilla","Grundberg, L. & Hembjer, P.",False,
"Grundberg, Leif & Wikström, Siv","Grundberg, L. & Wikström, S.",False,
"Grusmark, Cecilia","Grusmark, C.",False,
"Grusmark, Cecilia & Sillén, Peter","Grusmark, C. & Sillén, P.",False,
"Grälls, Anika & Westin, Åsa","Grälls, A. & Westin, Å.",False,
"Grälls, Annika & Ramström, Annica","Grälls, A. & Ramström, A.",False,
"Grön, Camilla","Grön, C.",False,
"Grön, Camilla & Sander, Birgitta","Grön, C. & Sander, B.",False,
"Grön, Camilla & Sundberg, Karin","Grön, C. & Sundberg, K.",False,
"Grönvall, Richard","Grönvall, R.",False,
"Grönwall, R., Werthwein, G. & Hamilton, J.,","Grönwall, R., Werthwein, G. & Hamilton, J.",False,
"Grönwall, Richard","Grönwall, R.",False,
"Grönwall, Richard & Höglin, Stefan","Grönwall, R. & Höglin, S.",False,
"Grönwall, Richard & Högling, Stefan","Grönwall, R. & Högling, S.",False,
"Grönwall, Richard & Werthwein, Göran","Grönwall, R. & Werthwein, G.",False,
"Grönwall, Richard & Widerström, Per","Grönwall, R. & Widerström, P.",False,
"Guinard, Michel","Guinard, M.",False,
"Guinard, Michel & Sundin, Lena","Guinard, M. & Sundin, L.",False,
"Guinard, Michel & Sundström, Lars","Guinard, M. & Sundström, L.",False,
"Guinard, Michel & Vogel, Pierre","Guinard, M. & Vogel, P.",False,
"Guinard, Michel & Vogel, Pierre (red)","Guinard, M. & Vogel, P. (ed.)",False,editor
"Guinard, Michel m fl","Guinard, M. et al.",False,et_al
"Gummesson, Sara & Molin, Fredrik","Gummesson, S. & Molin, F.",False,
"Gunnarsson, Daniel & Pettersson, Mats","Gunnarsson, D. & Pettersson, M.",False,
"Gunnarsson, Fredrik","Gunnarsson, F.",False,
"Gustafsson ,Per","Gustafsson, P.",False,
"Gustafsson Gillbrand,  Patrik","Gustafsson Gillbrand, P.",False,
"Gustafsson Gillbrand, Patrik","Gustafsson Gillbrand, P.",False,
"Gustafsson Gillbrand, Patrik & Svensson, Ingeborg","Gustafsson Gillbrand, P. & Svensson, I.",False,
"Gustafsson, Agneta","Gustafsson, A.",False,
"Gustafsson, Anders","Gustafsson, A.",False,
"Gustafsson, Jörgen","Gustafsson, J.",False,
"Gustafsson, Jörgen & Hylén, Håkan","Gustafsson, J. & Hylén, H.",False,
"Gustafsson, Jörgen & Nordman, Ann-Marie","Gustafsson, J. & Nordman, A.",False,
"Gustafsson, Malin","Gustafsson, M.",False,
"Gustafsson, Malin & Källström, Liselotte","Gustafsson, M. & Källström, L.",False,
"Gustafsson, Malin & Olsson, Robin","Gustafsson, M. & Olsson, R.",False,
"Gustafsson, Patrik","Gustafsson, P.",False,
"Gustafsson, Patrik & Nordin, Mikael","Gustafsson, P. & Nordin, M.",False,
"Gustafsson, Patrik & Pettersson, Björn","Gustafsson, P. & Pettersson, B.",False,
"Gustafsson, Per","Gustafsson, P.",False,
"Gustafsson, Per & Kihlstedt, Britta","Gustafsson, P. & Kihlstedt, B.",False,
"Gustafsson, Per & Neander, Karin","Gustafsson, P. & Neander, K.",False,
"Gustafsson, Per m fl","Gustafsson, P. et al.",False,et_al
"Gustafsson, Per, m fl","Gustafsson, P. et al.",False,et_al
"Gustafsson, Peter, Hellerström, Sven, Lagerås, Per","Gustafsson, P., Hellerström, S. & Lagerås, P.",False,
"Gustafsson, Stefan & Eliasson, Laila","Gustafsson, S. & Eliasson, L.",False,
"Gustavsson, Anna","Gustavsson, A.",False,
"Gustavsson, Elinor","Gustavsson, E.",False,
"Gustavsson, Fredrik","Gustavsson, F.",False,
"Gustavsson, Jeanette","Gustavsson, J.",False,
